student_id,age,gender,department,enrollment_year,cumulative_gpa,is_active,is_dropout
STU0322,24,F,Engineering,2023,2.29,1,0
STU0323,18,F,Mathematics,2021,3.34,1,0
STU0324,26,F,Engineering,2024,1.79,1,0
STU0325,25,M,Mathematics,2023,2.0,1,0
STU0326,20,F,Computer Science,2024,3.75,1,0
STU0327,28,M,Computer Science,2023,2.37,1,0
STU0328,22,M,Engineering,2023,3.63,1,0
STU0329,19,M,Physics,2022,3.96,1,0
STU0330,18,F,Mathematics,2024,2.4,1,0
STU0331,27,M,Business,2022,3.71,1,0
STU0332,25,F,Physics,2024,2.81,1,0
STU0333,20,M,Engineering,2021,3.93,1,0
STU0334,28,M,Business,2024,2.79,1,0
STU0335,20,M,Engineering,2022,2.58,1,0
STU0336,22,M,Computer Science,2022,1.91,0,1
STU0337,19,F,Physics,2023,2.13,1,0
STU0338,27,M,Mathematics,2023,2.83,1,0
STU0339,20,F,Engineering,2022,3.15,1,0
STU0340,18,F,Engineering,2021,1.7,1,0
STU0341,27,F,Mathematics,2024,3.1,1,0
STU0342,28,F,Engineering,2023,3.89,1,0
STU0343,22,M,Mathematics,2024,2.63,1,0
STU0344,24,M,Mathematics,2024,2.71,1,0
STU0345,23,F,Physics,2022,3.65,1,0
STU0346,20,M,Physics,2024,3.4,1,0
STU0347,25,M,Physics,2022,1.81,0,1
STU0348,22,F,Computer Science,2021,3.86,1,0
STU0349,23,F,Mathematics,2022,3.83,1,0
STU0350,25,F,Mathematics,2022,3.99,1,0
STU0351,25,F,Business,2023,1.56,1,0
STU0352,27,M,Mathematics,2022,2.38,1,0
STU0353,27,F,Physics,2024,3.71,1,0
STU0354,19,F,Physics,2021,2.58,1,0
STU0355,23,M,Physics,2024,1.61,0,1
STU0356,19,F,Physics,2023,2.47,1,0
STU0357,27,M,Engineering,2023,3.2,1,0
STU0358,24,F,Mathematics,2021,2.43,1,0
STU0359,20,F,Engineering,2023,2.0,1,0
STU0360,18,F,Engineering,2021,1.6,1,0
STU0361,20,M,Engineering,2024,3.02,1,0
STU0362,20,F,Physics,2023,2.48,1,0
STU0363,26,F,Engineering,2023,3.57,1,0
STU0364,25,F,Engineering,2023,3.54,1,0
STU0365,24,M,Physics,2021,2.96,1,0
STU0366,22,M,Engineering,2024,3.92,1,0
STU0367,20,F,Computer Science,2024,2.81,1,0
STU0368,18,M,Mathematics,2022,2.93,1,0
STU0369,25,M,Mathematics,2021,2.28,1,0
STU0370,24,F,Business,2022,2.75,1,0
STU0371,26,F,Computer Science,2022,2.02,1,0
STU0372,23,F,Business,2024,3.89,1,0
STU0373,26,F,Engineering,2023,2.39,1,0
STU0374,21,F,Engineering,2024,3.89,1,0
STU0375,21,F,Engineering,2023,3.85,1,0
STU0376,25,F,Physics,2022,2.29,1,0
STU0377,22,F,Engineering,2023,1.8,1,0
STU0378,20,F,Business,2023,2.23,1,0
STU0379,25,F,Computer Science,2023,3.14,1,0
STU0380,26,F,Mathematics,2022,2.18,1,0
STU0381,27,M,Mathematics,2021,3.35,1,0
STU0382,28,M,Mathematics,2021,3.76,1,0
STU0383,19,F,Mathematics,2021,2.53,1,0
STU0384,18,M,Computer Science,2022,3.91,1,0
STU0385,25,F,Business,2024,3.13,1,0
STU0386,28,M,Physics,2023,1.65,1,0
STU0387,20,M,Engineering,2021,2.54,1,0
STU0388,25,F,Computer Science,2024,1.97,1,0
STU0389,22,M,Computer Science,2021,2.92,1,0
STU0390,25,F,Physics,2023,3.97,1,0
STU0391,22,M,Mathematics,2024,1.98,0,1
STU0392,20,F,Business,2023,1.54,0,1
STU0393,20,F,Engineering,2022,3.03,1,0
STU0394,19,M,Business,2023,2.5,1,0
STU0395,25,M,Mathematics,2022,2.31,1,0
STU0396,24,F,Computer Science,2023,2.09,1,0
STU0397,27,M,Physics,2023,3.31,1,0
STU0398,21,F,Physics,2023,1.66,0,1
STU0399,28,F,Mathematics,2024,2.76,1,0
STU0400,23,M,Computer Science,2023,3.04,1,0
STU0401,20,F,Mathematics,2024,2.64,1,0
STU0402,26,M,Business,2024,3.5,1,0
STU0403,26,F,Mathematics,2021,2.62,1,0
STU0404,18,M,Computer Science,2021,3.57,1,0
STU0405,20,F,Engineering,2022,2.32,1,0
STU0406,27,F,Computer Science,2022,2.72,1,0
STU0407,20,F,Computer Science,2024,2.78,1,0
STU0408,26,F,Engineering,2021,2.66,1,0
STU0409,22,M,Computer Science,2024,3.54,1,0
STU0410,18,M,Engineering,2021,2.56,1,0
STU0411,19,F,Engineering,2021,3.97,1,0
STU0412,24,F,Computer Science,2023,1.95,0,1
STU0413,25,F,Physics,2024,3.67,1,0
STU0414,28,M,Business,2021,3.91,1,0
STU0415,20,F,Physics,2021,3.98,1,0
STU0416,21,M,Engineering,2022,3.59,1,0
STU0417,28,F,Physics,2024,3.3,1,0
STU0418,21,F,Engineering,2024,2.12,1,0
STU0419,21,M,Mathematics,2023,3.84,1,0
STU0420,27,M,Computer Science,2024,3.42,1,0
STU0421,19,M,Mathematics,2022,1.75,0,1
STU0422,24,M,Mathematics,2021,2.6,1,0
STU0423,26,M,Computer Science,2022,3.98,1,0
STU0424,27,F,Engineering,2023,2.99,1,0
STU0425,20,M,Mathematics,2023,3.96,1,0
STU0426,22,M,Business,2023,1.65,1,0
STU0427,18,F,Business,2024,3.93,1,0
STU0428,24,F,Engineering,2023,2.52,1,0
STU0429,26,M,Business,2022,2.68,1,0
STU0430,25,F,Physics,2022,3.79,1,0
STU0431,24,M,Business,2022,2.11,1,0
STU0432,25,M,Physics,2021,3.62,1,0
STU0433,18,M,Engineering,2022,2.17,1,0
STU0434,27,M,Computer Science,2022,3.31,1,0
STU0435,23,M,Business,2022,2.26,1,0
STU0436,19,F,Mathematics,2022,3.37,1,0
STU0437,24,F,Mathematics,2022,3.79,1,0
STU0438,25,F,Physics,2024,2.83,1,0
STU0439,23,F,Physics,2023,2.78,1,0
STU0440,25,F,Business,2021,3.4,1,0
STU0441,23,M,Mathematics,2023,2.53,1,0
STU0442,22,F,Mathematics,2021,2.88,1,0
STU0443,21,F,Physics,2022,2.32,1,0
STU0444,25,F,Engineering,2022,2.88,1,0
STU0445,28,F,Physics,2024,3.35,1,0
STU0446,20,M,Mathematics,2023,1.85,0,1
STU0447,26,M,Engineering,2021,1.58,1,0
STU0448,20,M,Computer Science,2024,3.61,1,0
STU0449,18,F,Computer Science,2022,2.05,1,0
STU0450,27,F,Physics,2021,3.09,1,0
STU0451,18,F,Business,2021,2.83,1,0
STU0452,26,F,Computer Science,2021,3.31,1,0
STU0453,20,M,Computer Science,2024,1.77,0,1
STU0454,27,F,Mathematics,2022,2.82,1,0
STU0455,19,F,Physics,2024,2.43,1,0
STU0456,21,M,Business,2022,2.25,1,0
STU0457,24,F,Computer Science,2021,2.45,1,0
STU0458,20,F,Computer Science,2021,1.71,1,0
STU0459,26,M,Engineering,2021,3.8,1,0
STU0460,22,F,Mathematics,2024,1.62,0,1
STU0461,20,F,Engineering,2021,3.82,1,0
STU0462,27,F,Computer Science,2022,1.86,1,0
STU0463,20,F,Computer Science,2023,2.91,1,0
STU0464,24,M,Engineering,2023,3.39,1,0
STU0465,18,M,Computer Science,2023,1.74,0,1
STU0466,23,F,Physics,2024,1.57,0,1
STU0467,23,F,Business,2022,2.88,1,0
STU0468,28,F,Business,2022,2.96,1,0
STU0469,21,M,Computer Science,2023,3.28,1,0
STU0470,24,M,Physics,2022,3.28,1,0
STU0471,23,F,Business,2023,1.77,0,1
STU0472,22,F,Business,2023,1.76,0,1
STU0473,19,M,Business,2024,1.57,0,1
STU0474,24,M,Engineering,2023,1.53,0,1
STU0475,27,F,Engineering,2022,2.8,1,0
STU0476,22,F,Mathematics,2022,2.25,1,0
STU0477,20,F,Mathematics,2021,2.59,1,0
STU0478,19,M,Physics,2024,2.4,1,0
STU0479,25,F,Business,2022,1.77,0,1
STU0480,23,F,Physics,2024,2.6,1,0
STU0481,22,M,Engineering,2022,2.3,1,0
STU0482,20,F,Business,2023,3.91,1,0
STU0483,27,F,Physics,2024,3.45,1,0
STU0484,24,M,Business,2023,2.41,1,0
STU0485,28,M,Engineering,2022,3.42,1,0
STU0486,25,M,Business,2022,3.49,1,0
STU0487,20,M,Business,2024,3.08,1,0
STU0488,24,M,Physics,2022,3.47,1,0
STU0489,27,F,Business,2024,2.5,1,0
STU0490,23,M,Engineering,2021,3.25,1,0
STU0491,28,M,Computer Science,2022,3.16,1,0
STU0492,27,F,Engineering,2021,3.96,1,0
STU0493,19,M,Physics,2024,1.53,0,1
STU0494,24,M,Business,2023,2.66,1,0
STU0495,25,M,Physics,2021,1.76,0,1
STU0496,23,F,Computer Science,2022,2.28,1,0
STU0497,23,F,Mathematics,2024,2.69,1,0
STU0498,19,M,Business,2023,2.25,1,0
STU0499,28,M,Computer Science,2023,1.77,1,0
STU0500,26,F,Engineering,2022,1.9,0,1
