record_id,student_id,course_id,course_name,semester,year,grade,credits
71,STU0004,EN101,Engineering Drawing,Spring,2025,3.43,3
72,STU0004,EN201,Circuit Analysis,Spring,2025,3.15,3
73,STU0005,MT201,Linear Algebra,Fall,2023,1.54,3
74,STU0005,MT401,Discrete Math,Fall,2023,1.62,3
75,STU0005,MT301,Statistics,Fall,2023,2.34,4
76,STU0005,MT101,Calculus I,Fall,2023,1.96,4
77,STU0005,MT201,Linear Algebra,Spring,2023,2.43,3
78,STU0005,MT101,Calculus I,Spring,2023,2.29,4
79,STU0005,MT401,Discrete Math,Spring,2023,2.65,3
80,STU0005,MT301,Statistics,Fall,2024,1.87,3
81,STU0005,MT101,Calculus I,Fall,2024,2.65,3
82,STU0005,MT401,Discrete Math,Fall,2024,2.19,3
83,STU0005,MT201,Linear Algebra,Fall,2024,1.79,3
84,STU0005,MT101,Calculus I,Spring,2024,2.02,4
85,STU0005,MT201,Linear Algebra,Spring,2024,1.98,3
86,STU0005,MT301,Statistics,Spring,2024,2.62,3
87,STU0005,MT401,Discrete Math,Spring,2024,1.43,3
88,STU0005,MT301,Statistics,Fall,2025,1.46,3
89,STU0005,MT101,Calculus I,Fall,2025,2.92,4
90,STU0005,MT301,Statistics,Spring,2025,2.52,3
91,STU0005,MT401,Discrete Math,Spring,2025,2.42,3
92,STU0005,MT201,Linear Algebra,Spring,2025,1.84,4
93,STU0005,MT101,Calculus I,Spring,2025,1.53,3
94,STU0006,MT301,Statistics,Fall,2023,2.33,3
95,STU0006,MT201,Linear Algebra,Fall,2023,1.89,4
96,STU0006,MT201,Linear Algebra,Spring,2023,2.87,3
97,STU0006,MT101,Calculus I,Spring,2023,2.12,3
98,STU0006,MT301,Statistics,Spring,2023,1.88,3
99,STU0006,MT401,Discrete Math,Spring,2023,1.58,3
100,STU0006,MT101,Calculus I,Fall,2024,2.23,4
101,STU0006,MT401,Discrete Math,Fall,2024,1.66,3
102,STU0006,MT201,Linear Algebra,Fall,2024,2.59,4
103,STU0006,MT301,Statistics,Fall,2024,2.56,3
104,STU0006,MT301,Statistics,Spring,2024,1.83,3
105,STU0006,MT201,Linear Algebra,Spring,2024,1.81,3
106,STU0006,MT401,Discrete Math,Fall,2025,1.48,3
107,STU0006,MT301,Statistics,Fall,2025,1.98,4
108,STU0006,MT201,Linear Algebra,Fall,2025,2.63,3
109,STU0006,MT101,Calculus I,Spring,2025,2.76,3
110,STU0006,MT401,Discrete Math,Spring,2025,1.78,4
111,STU0007,PH201,Electromagnetism,Fall,2023,3.14,3
112,STU0007,PH101,Mechanics,Fall,2023,2.53,4
113,STU0007,PH301,Thermodynamics,Fall,2023,2.01,3
114,STU0007,PH301,Thermodynamics,Spring,2023,2.97,4
115,STU0007,PH201,Electromagnetism,Spring,2023,1.84,3
116,STU0007,PH101,Mechanics,Spring,2023,1.94,3
117,STU0007,PH101,Mechanics,Fall,2024,2.89,4
118,STU0007,PH201,Electromagnetism,Fall,2024,2.17,4
119,STU0007,PH301,Thermodynamics,Fall,2024,1.66,3
120,STU0007,PH301,Thermodynamics,Spring,2024,2.39,4
121,STU0007,PH201,Electromagnetism,Spring,2024,3.25,3
122,STU0007,PH101,Mechanics,Spring,2024,2.82,3
123,STU0007,PH101,Mechanics,Fall,2025,1.69,4
124,STU0007,PH201,Electromagnetism,Fall,2025,2.67,3
125,STU0007,PH101,Mechanics,Spring,2025,1.82,3
126,STU0007,PH201,Electromagnetism,Spring,2025,2.32,3
127,STU0007,PH301,Thermodynamics,Spring,2025,3.21,3
128,STU0008,PH201,Electromagnetism,Fall,2023,3.99,4
129,STU0008,PH101,Mechanics,Fall,2023,3.64,4
130,STU0008,PH301,Thermodynamics,Fall,2023,3.25,3
131,STU0008,PH101,Mechanics,Spring,2023,2.64,3
132,STU0008,PH301,Thermodynamics,Spring,2023,3.22,3
133,STU0008,PH201,Electromagnetism,Spring,2023,2.9,4
134,STU0008,PH201,Electromagnetism,Fall,2024,3.24,3
135,STU0008,PH301,Thermodynamics,Fall,2024,2.64,3
136,STU0008,PH101,Mechanics,Fall,2024,2.74,3
137,STU0008,PH101,Mechanics,Spring,2024,3.24,4
138,STU0008,PH301,Thermodynamics,Spring,2024,3.17,4
139,STU0008,PH201,Electromagnetism,Fall,2025,3.26,3
140,STU0008,PH301,Thermodynamics,Fall,2025,2.66,4
141,STU0008,PH301,Thermodynamics,Spring,2025,3.86,4
142,STU0008,PH101,Mechanics,Spring,2025,2.76,3
143,STU0008,PH201,Electromagnetism,Spring,2025,4.0,4
144,STU0009,BU101,Accounting,Fall,2023,2.74,3
145,STU0009,BU301,Finance,Fall,2023,1.48,4
146,STU0009,BU201,Marketing,Fall,2023,2.8,3
147,STU0009,BU401,Management,Fall,2023,1.58,3
148,STU0009,BU101,Accounting,Spring,2023,1.53,3
149,STU0009,BU401,Management,Spring,2023,1.64,4
150,STU0009,BU101,Accounting,Fall,2024,2.9,3
151,STU0009,BU301,Finance,Fall,2024,1.46,3
152,STU0009,BU201,Marketing,Fall,2024,1.75,4
153,STU0009,BU101,Accounting,Spring,2024,1.63,4
154,STU0009,BU201,Marketing,Spring,2024,1.51,4
155,STU0009,BU401,Management,Fall,2025,2.52,3
156,STU0009,BU201,Marketing,Fall,2025,2.0,3
157,STU0009,BU101,Accounting,Fall,2025,1.87,4
158,STU0009,BU301,Finance,Fall,2025,2.84,3
159,STU0009,BU201,Marketing,Spring,2025,2.09,4
160,STU0009,BU301,Finance,Spring,2025,1.53,4
161,STU0009,BU401,Management,Spring,2025,2.04,4
162,STU0009,BU101,Accounting,Spring,2025,1.75,3
163,STU0010,EN301,Control Systems,Fall,2023,2.06,4
164,STU0010,EN101,Engineering Drawing,Fall,2023,1.58,4
165,STU0010,EN201,Circuit Analysis,Fall,2023,1.36,4
166,STU0010,EN201,Circuit Analysis,Spring,2023,1.32,3
167,STU0010,EN101,Engineering Drawing,Spring,2023,0.86,4
168,STU0010,EN301,Control Systems,Spring,2023,0.9,4
169,STU0010,EN201,Circuit Analysis,Fall,2024,0.97,3
170,STU0010,EN101,Engineering Drawing,Fall,2024,1.24,3
171,STU0010,EN301,Control Systems,Fall,2024,2.03,3
172,STU0010,EN201,Circuit Analysis,Spring,2024,1.09,4
173,STU0010,EN301,Control Systems,Spring,2024,2.1,4
174,STU0010,EN101,Engineering Drawing,Spring,2024,2.27,3
175,STU0010,EN301,Control Systems,Fall,2025,1.71,3
176,STU0010,EN201,Circuit Analysis,Fall,2025,2.15,4
177,STU0010,EN101,Engineering Drawing,Fall,2025,1.68,3
178,STU0010,EN101,Engineering Drawing,Spring,2025,1.18,3
179,STU0010,EN301,Control Systems,Spring,2025,0.84,4
180,STU0010,EN201,Circuit Analysis,Spring,2025,0.81,3
181,STU0011,CS301,Databases,Fall,2023,3.12,4
182,STU0011,CS201,Data Structures,Fall,2023,1.75,3
183,STU0011,CS201,Data Structures,Spring,2023,3.19,4
184,STU0011,CS101,Intro to Programming,Spring,2023,2.78,4
185,STU0011,CS301,Databases,Spring,2023,2.59,4
186,STU0011,CS501,Big Data,Spring,2023,2.13,3
187,STU0011,CS401,Machine Learning,Fall,2024,2.69,3
188,STU0011,CS501,Big Data,Fall,2024,2.78,4
189,STU0011,CS501,Big Data,Spring,2024,2.26,4
190,STU0011,CS201,Data Structures,Spring,2024,1.85,3
191,STU0011,CS501,Big Data,Fall,2025,1.94,4
192,STU0011,CS401,Machine Learning,Fall,2025,3.12,3
193,STU0011,CS301,Databases,Fall,2025,2.67,3
194,STU0011,CS101,Intro to Programming,Fall,2025,3.15,3
195,STU0011,CS101,Intro to Programming,Spring,2025,3.22,3
196,STU0011,CS201,Data Structures,Spring,2025,2.67,3
197,STU0011,CS401,Machine Learning,Spring,2025,2.96,4
198,STU0012,PH101,Mechanics,Fall,2023,1.99,3
199,STU0012,PH201,Electromagnetism,Fall,2023,2.15,3
200,STU0012,PH301,Thermodynamics,Fall,2023,2.74,3
201,STU0012,PH201,Electromagnetism,Spring,2023,3.01,4
202,STU0012,PH301,Thermodynamics,Spring,2023,3.0,4
203,STU0012,PH101,Mechanics,Spring,2023,2.46,3
204,STU0012,PH301,Thermodynamics,Fall,2024,2.31,3
205,STU0012,PH101,Mechanics,Fall,2024,2.06,4
206,STU0012,PH201,Electromagnetism,Fall,2024,2.01,3
207,STU0012,PH201,Electromagnetism,Spring,2024,3.01,3
208,STU0012,PH101,Mechanics,Spring,2024,2.76,3
209,STU0012,PH301,Thermodynamics,Fall,2025,2.28,3
210,STU0012,PH201,Electromagnetism,Fall,2025,2.56,4
211,STU0012,PH101,Mechanics,Fall,2025,1.84,3
212,STU0012,PH101,Mechanics,Spring,2025,2.71,4
213,STU0012,PH301,Thermodynamics,Spring,2025,2.65,4
214,STU0012,PH201,Electromagnetism,Spring,2025,1.97,3
215,STU0013,CS501,Big Data,Fall,2023,2.61,3
216,STU0013,CS401,Machine Learning,Fall,2023,3.2,4
217,STU0013,CS101,Intro to Programming,Fall,2023,3.84,4
218,STU0013,CS101,Intro to Programming,Spring,2023,2.85,4
219,STU0013,CS501,Big Data,Spring,2023,4.0,4
220,STU0013,CS301,Databases,Fall,2024,3.27,4
221,STU0013,CS401,Machine Learning,Fall,2024,2.67,4
222,STU0013,CS301,Databases,Spring,2024,3.11,4
223,STU0013,CS401,Machine Learning,Spring,2024,2.59,4
224,STU0013,CS301,Databases,Fall,2025,3.42,3
225,STU0013,CS201,Data Structures,Fall,2025,3.72,3
226,STU0013,CS401,Machine Learning,Fall,2025,2.66,4
227,STU0013,CS401,Machine Learning,Spring,2025,3.87,4
228,STU0013,CS201,Data Structures,Spring,2025,4.0,4
229,STU0013,CS301,Databases,Spring,2025,3.44,3
230,STU0013,CS101,Intro to Programming,Spring,2025,3.28,3
231,STU0014,BU101,Accounting,Fall,2023,3.36,4
232,STU0014,BU301,Finance,Fall,2023,3.45,3
233,STU0014,BU401,Management,Fall,2023,4.0,3
234,STU0014,BU101,Accounting,Spring,2023,3.3,4
235,STU0014,BU201,Marketing,Spring,2023,3.49,3
236,STU0014,BU301,Finance,Fall,2024,3.79,4
237,STU0014,BU201,Marketing,Fall,2024,4.0,4
238,STU0014,BU101,Accounting,Fall,2024,4.0,3
239,STU0014,BU401,Management,Fall,2024,4.0,4
240,STU0014,BU401,Management,Spring,2024,3.41,3
241,STU0014,BU101,Accounting,Spring,2024,4.0,3
242,STU0014,BU301,Finance,Fall,2025,3.78,4
243,STU0014,BU201,Marketing,Fall,2025,4.0,4
244,STU0014,BU401,Management,Fall,2025,3.23,4
245,STU0014,BU201,Marketing,Spring,2025,3.23,4
246,STU0014,BU301,Finance,Spring,2025,4.0,3
247,STU0014,BU401,Management,Spring,2025,4.0,4
248,STU0015,PH101,Mechanics,Fall,2023,3.25,4
249,STU0015,PH201,Electromagnetism,Fall,2023,4.0,3
250,STU0015,PH301,Thermodynamics,Fall,2023,4.0,3
251,STU0015,PH201,Electromagnetism,Spring,2023,3.99,4
252,STU0015,PH301,Thermodynamics,Spring,2023,3.18,4
253,STU0015,PH301,Thermodynamics,Fall,2024,3.46,4
254,STU0015,PH101,Mechanics,Fall,2024,3.94,4
255,STU0015,PH201,Electromagnetism,Fall,2024,4.0,3
256,STU0015,PH201,Electromagnetism,Spring,2024,2.97,3
257,STU0015,PH301,Thermodynamics,Spring,2024,3.03,3
258,STU0015,PH101,Mechanics,Fall,2025,3.48,4
259,STU0015,PH301,Thermodynamics,Fall,2025,3.88,4
260,STU0015,PH201,Electromagnetism,Spring,2025,3.84,3
261,STU0015,PH301,Thermodynamics,Spring,2025,3.35,4
262,STU0015,PH101,Mechanics,Spring,2025,3.03,4
263,STU0016,BU301,Finance,Fall,2023,2.43,3
264,STU0016,BU201,Marketing,Fall,2023,1.69,4
265,STU0016,BU101,Accounting,Fall,2023,1.31,3
266,STU0016,BU401,Management,Fall,2023,2.6,3
267,STU0016,BU201,Marketing,Spring,2023,2.61,3
268,STU0016,BU401,Management,Spring,2023,1.99,3
269,STU0016,BU301,Finance,Spring,2023,2.27,3
270,STU0016,BU101,Accounting,Spring,2023,1.59,4
271,STU0016,BU301,Finance,Fall,2024,1.96,3
272,STU0016,BU201,Marketing,Fall,2024,1.98,4
273,STU0016,BU401,Management,Fall,2024,2.17,3
274,STU0016,BU101,Accounting,Fall,2024,2.05,4
275,STU0016,BU301,Finance,Spring,2024,1.33,4
276,STU0016,BU201,Marketing,Spring,2024,2.25,4
277,STU0016,BU101,Accounting,Spring,2024,1.65,4
278,STU0016,BU401,Management,Spring,2024,1.53,3
279,STU0016,BU401,Management,Fall,2025,1.74,3
280,STU0016,BU301,Finance,Fall,2025,2.38,4
281,STU0016,BU301,Finance,Spring,2025,1.85,3
282,STU0016,BU201,Marketing,Spring,2025,2.16,3
283,STU0016,BU401,Management,Spring,2025,1.78,3
284,STU0017,MT401,Discrete Math,Fall,2023,4.0,3
285,STU0017,MT301,Statistics,Fall,2023,3.38,4
286,STU0017,MT201,Linear Algebra,Fall,2023,3.11,4
287,STU0017,MT101,Calculus I,Fall,2023,4.0,3
288,STU0017,MT301,Statistics,Spring,2023,3.48,4
289,STU0017,MT401,Discrete Math,Spring,2023,3.58,4
290,STU0017,MT101,Calculus I,Spring,2023,3.5,4
291,STU0017,MT201,Linear Algebra,Spring,2023,3.65,3
292,STU0017,MT101,Calculus I,Fall,2024,3.67,3
293,STU0017,MT301,Statistics,Fall,2024,3.71,4
294,STU0017,MT401,Discrete Math,Fall,2024,3.76,4
295,STU0017,MT201,Linear Algebra,Spring,2024,4.0,4
296,STU0017,MT101,Calculus I,Spring,2024,3.56,4
297,STU0017,MT301,Statistics,Fall,2025,3.2,3
298,STU0017,MT401,Discrete Math,Fall,2025,3.69,3
299,STU0017,MT101,Calculus I,Spring,2025,3.35,3
300,STU0017,MT401,Discrete Math,Spring,2025,3.83,3
301,STU0017,MT201,Linear Algebra,Spring,2025,3.69,3
302,STU0018,MT401,Discrete Math,Fall,2023,2.01,4
303,STU0018,MT301,Statistics,Fall,2023,2.86,4
304,STU0018,MT101,Calculus I,Spring,2023,1.64,4
305,STU0018,MT301,Statistics,Spring,2023,2.84,4
306,STU0018,MT201,Linear Algebra,Fall,2024,1.68,4
307,STU0018,MT101,Calculus I,Fall,2024,1.82,3
308,STU0018,MT301,Statistics,Fall,2024,1.93,4
309,STU0018,MT401,Discrete Math,Fall,2024,1.59,3
310,STU0018,MT301,Statistics,Spring,2024,2.01,3
311,STU0018,MT201,Linear Algebra,Spring,2024,1.87,4
312,STU0018,MT401,Discrete Math,Spring,2024,1.89,3
313,STU0018,MT401,Discrete Math,Fall,2025,1.69,3
314,STU0018,MT101,Calculus I,Fall,2025,1.66,3
315,STU0018,MT201,Linear Algebra,Spring,2025,1.92,4
316,STU0018,MT101,Calculus I,Spring,2025,2.55,3
317,STU0018,MT401,Discrete Math,Spring,2025,2.27,3
318,STU0018,MT301,Statistics,Spring,2025,2.38,3
319,STU0019,EN301,Control Systems,Fall,2023,2.37,4
320,STU0019,EN101,Engineering Drawing,Fall,2023,1.9,4
321,STU0019,EN301,Control Systems,Spring,2023,2.81,3
322,STU0019,EN101,Engineering Drawing,Spring,2023,2.18,3
323,STU0019,EN201,Circuit Analysis,Spring,2023,2.76,4
324,STU0019,EN301,Control Systems,Fall,2024,3.03,3
325,STU0019,EN101,Engineering Drawing,Fall,2024,2.52,3
326,STU0019,EN201,Circuit Analysis,Fall,2024,2.15,3
327,STU0019,EN101,Engineering Drawing,Spring,2024,3.03,3
328,STU0019,EN301,Control Systems,Spring,2024,2.27,4
329,STU0019,EN201,Circuit Analysis,Spring,2024,2.17,3
330,STU0019,EN201,Circuit Analysis,Fall,2025,2.23,3
331,STU0019,EN101,Engineering Drawing,Fall,2025,1.72,3
332,STU0019,EN301,Control Systems,Fall,2025,3.15,4
333,STU0019,EN101,Engineering Drawing,Spring,2025,2.86,3
334,STU0019,EN301,Control Systems,Spring,2025,3.15,3
335,STU0020,MT301,Statistics,Fall,2023,2.67,3
336,STU0020,MT201,Linear Algebra,Fall,2023,3.99,4
337,STU0020,MT401,Discrete Math,Fall,2023,3.17,4
338,STU0020,MT101,Calculus I,Spring,2023,2.61,3
339,STU0020,MT401,Discrete Math,Spring,2023,3.65,3
340,STU0020,MT301,Statistics,Spring,2023,3.12,4
341,STU0020,MT301,Statistics,Fall,2024,3.89,3
342,STU0020,MT401,Discrete Math,Fall,2024,2.77,4
343,STU0020,MT101,Calculus I,Fall,2024,4.0,4
344,STU0020,MT201,Linear Algebra,Fall,2024,3.93,4
345,STU0020,MT201,Linear Algebra,Spring,2024,3.7,3
346,STU0020,MT101,Calculus I,Spring,2024,4.0,3
347,STU0020,MT301,Statistics,Spring,2024,2.76,4
348,STU0020,MT401,Discrete Math,Fall,2025,3.57,3
349,STU0020,MT101,Calculus I,Fall,2025,3.36,4
350,STU0020,MT201,Linear Algebra,Fall,2025,2.77,4
351,STU0020,MT301,Statistics,Fall,2025,3.3,3
352,STU0020,MT301,Statistics,Spring,2025,4.0,4
353,STU0020,MT101,Calculus I,Spring,2025,3.42,3
354,STU0020,MT401,Discrete Math,Spring,2025,3.28,3
355,STU0021,MT301,Statistics,Fall,2023,2.0,3
356,STU0021,MT401,Discrete Math,Fall,2023,1.78,3
357,STU0021,MT201,Linear Algebra,Fall,2023,2.57,4
358,STU0021,MT201,Linear Algebra,Spring,2023,2.27,4
359,STU0021,MT101,Calculus I,Spring,2023,3.31,3
360,STU0021,MT401,Discrete Math,Spring,2023,2.57,4
361,STU0021,MT201,Linear Algebra,Fall,2024,2.47,4
362,STU0021,MT101,Calculus I,Fall,2024,1.9,4
363,STU0021,MT401,Discrete Math,Fall,2024,2.48,3
364,STU0021,MT101,Calculus I,Spring,2024,2.42,3
365,STU0021,MT401,Discrete Math,Spring,2024,3.08,4
366,STU0021,MT201,Linear Algebra,Spring,2024,3.18,3
367,STU0021,MT401,Discrete Math,Fall,2025,3.07,4
368,STU0021,MT201,Linear Algebra,Fall,2025,2.29,4
369,STU0021,MT301,Statistics,Fall,2025,2.91,4
370,STU0021,MT101,Calculus I,Fall,2025,2.91,3
371,STU0021,MT201,Linear Algebra,Spring,2025,2.31,4
372,STU0021,MT101,Calculus I,Spring,2025,2.64,4
373,STU0022,BU101,Accounting,Fall,2023,3.41,4
374,STU0022,BU401,Management,Fall,2023,3.36,3
375,STU0022,BU301,Finance,Fall,2023,3.49,4
376,STU0022,BU201,Marketing,Fall,2023,3.53,3
377,STU0022,BU301,Finance,Spring,2023,4.0,3
378,STU0022,BU101,Accounting,Spring,2023,4.0,4
379,STU0022,BU201,Marketing,Spring,2023,3.92,3
380,STU0022,BU401,Management,Spring,2023,4.0,3
381,STU0022,BU101,Accounting,Fall,2024,4.0,3
382,STU0022,BU301,Finance,Fall,2024,4.0,3
383,STU0022,BU201,Marketing,Fall,2024,4.0,3
384,STU0022,BU401,Management,Fall,2024,3.36,4
385,STU0022,BU401,Management,Spring,2024,3.83,4
386,STU0022,BU201,Marketing,Spring,2024,4.0,4
387,STU0022,BU101,Accounting,Spring,2024,4.0,3
388,STU0022,BU301,Finance,Spring,2024,3.85,4
389,STU0022,BU301,Finance,Fall,2025,3.53,4
390,STU0022,BU401,Management,Fall,2025,4.0,3
391,STU0022,BU101,Accounting,Fall,2025,4.0,3
392,STU0022,BU201,Marketing,Fall,2025,4.0,4
393,STU0022,BU101,Accounting,Spring,2025,4.0,4
394,STU0022,BU201,Marketing,Spring,2025,4.0,4
395,STU0022,BU301,Finance,Spring,2025,4.0,3
396,STU0022,BU401,Management,Spring,2025,3.23,3
397,STU0023,EN301,Control Systems,Fall,2023,2.82,3
398,STU0023,EN101,Engineering Drawing,Fall,2023,4.0,4
399,STU0023,EN101,Engineering Drawing,Spring,2023,2.83,3
400,STU0023,EN201,Circuit Analysis,Spring,2023,3.07,4
401,STU0023,EN301,Control Systems,Fall,2024,3.69,4
402,STU0023,EN101,Engineering Drawing,Fall,2024,2.88,4
403,STU0023,EN301,Control Systems,Spring,2024,3.12,4
404,STU0023,EN101,Engineering Drawing,Spring,2024,4.0,3
405,STU0023,EN201,Circuit Analysis,Spring,2024,2.52,4
406,STU0023,EN301,Control Systems,Fall,2025,3.83,4
407,STU0023,EN201,Circuit Analysis,Fall,2025,3.71,3
408,STU0023,EN101,Engineering Drawing,Spring,2025,2.78,3
409,STU0023,EN201,Circuit Analysis,Spring,2025,2.8,3
410,STU0023,EN301,Control Systems,Spring,2025,3.68,3
411,STU0024,PH101,Mechanics,Fall,2023,2.68,3
412,STU0024,PH201,Electromagnetism,Fall,2023,2.05,4
413,STU0024,PH301,Thermodynamics,Fall,2023,1.8,4
414,STU0024,PH101,Mechanics,Spring,2023,3.28,3
415,STU0024,PH301,Thermodynamics,Spring,2023,3.03,4
416,STU0024,PH201,Electromagnetism,Spring,2023,2.57,4
417,STU0024,PH301,Thermodynamics,Fall,2024,2.63,3
418,STU0024,PH201,Electromagnetism,Fall,2024,2.62,3
419,STU0024,PH301,Thermodynamics,Spring,2024,2.35,3
420,STU0024,PH201,Electromagnetism,Spring,2024,2.85,4
421,STU0024,PH101,Mechanics,Spring,2024,2.37,3
422,STU0024,PH301,Thermodynamics,Fall,2025,1.97,4
423,STU0024,PH201,Electromagnetism,Fall,2025,2.5,3
424,STU0024,PH101,Mechanics,Fall,2025,3.32,4
425,STU0024,PH101,Mechanics,Spring,2025,2.65,4
426,STU0024,PH201,Electromagnetism,Spring,2025,1.83,4
427,STU0024,PH301,Thermodynamics,Spring,2025,2.61,4
428,STU0025,CS101,Intro to Programming,Fall,2023,2.91,3
429,STU0025,CS301,Databases,Fall,2023,4.0,3
430,STU0025,CS401,Machine Learning,Fall,2023,4.0,3
431,STU0025,CS101,Intro to Programming,Spring,2023,3.98,4
432,STU0025,CS201,Data Structures,Spring,2023,3.94,3
433,STU0025,CS301,Databases,Spring,2023,3.46,4
434,STU0025,CS501,Big Data,Spring,2023,3.63,3
435,STU0025,CS201,Data Structures,Fall,2024,2.66,3
436,STU0025,CS101,Intro to Programming,Fall,2024,2.69,4
437,STU0025,CS501,Big Data,Fall,2024,3.49,3
438,STU0025,CS301,Databases,Fall,2024,4.0,4
439,STU0025,CS401,Machine Learning,Spring,2024,3.11,4
440,STU0025,CS501,Big Data,Spring,2024,3.68,3
441,STU0025,CS201,Data Structures,Spring,2024,3.63,3
442,STU0025,CS501,Big Data,Fall,2025,3.17,3
443,STU0025,CS101,Intro to Programming,Fall,2025,3.06,4
444,STU0025,CS301,Databases,Fall,2025,3.57,4
445,STU0025,CS401,Machine Learning,Fall,2025,3.82,4
446,STU0025,CS401,Machine Learning,Spring,2025,2.85,3
447,STU0025,CS101,Intro to Programming,Spring,2025,2.82,4
448,STU0025,CS201,Data Structures,Spring,2025,3.87,4
449,STU0026,PH101,Mechanics,Fall,2023,3.16,3
450,STU0026,PH201,Electromagnetism,Fall,2023,2.52,3
451,STU0026,PH301,Thermodynamics,Fall,2023,1.83,3
452,STU0026,PH301,Thermodynamics,Spring,2023,2.12,4
453,STU0026,PH201,Electromagnetism,Spring,2023,1.97,3
454,STU0026,PH101,Mechanics,Spring,2023,1.89,3
455,STU0026,PH201,Electromagnetism,Fall,2024,1.92,3
456,STU0026,PH101,Mechanics,Fall,2024,2.99,4
457,STU0026,PH301,Thermodynamics,Fall,2024,2.66,3
458,STU0026,PH301,Thermodynamics,Spring,2024,1.79,4
459,STU0026,PH101,Mechanics,Spring,2024,3.15,4
