student_id,week_start,logins,time_spent_minutes,assignments_submitted,forum_posts
STU0003,2025-04-16,6,192,3,4
STU0003,2025-04-23,9,152,3,3
STU0003,2025-04-30,6,207,2,4
STU0003,2025-05-07,5,234,4,2
STU0003,2025-05-14,7,254,4,4
STU0004,2025-01-01,7,191,3,4
STU0004,2025-01-08,6,198,4,4
STU0004,2025-01-15,12,226,3,3
STU0004,2025-01-22,7,301,3,1
STU0004,2025-01-29,12,277,5,3
STU0004,2025-02-05,8,286,3,3
STU0004,2025-02-12,6,194,4,1
STU0004,2025-02-19,11,277,4,2
STU0004,2025-02-26,12,264,4,1
STU0004,2025-03-05,11,250,4,1
STU0004,2025-03-12,10,285,5,2
STU0004,2025-03-19,8,250,5,3
STU0004,2025-03-26,8,247,5,2
STU0004,2025-04-02,9,216,4,3
STU0004,2025-04-09,11,254,4,3
STU0004,2025-04-16,12,261,4,4
STU0004,2025-04-23,8,200,4,3
STU0004,2025-04-30,7,263,5,1
STU0004,2025-05-07,11,281,4,2
STU0004,2025-05-14,9,250,3,4
STU0005,2025-01-01,5,156,3,2
STU0005,2025-01-08,7,168,3,2
STU0005,2025-01-15,3,208,3,3
STU0005,2025-01-22,7,215,3,3
STU0005,2025-01-29,9,166,1,2
STU0005,2025-02-05,4,112,3,0
STU0005,2025-02-12,5,172,1,3
STU0005,2025-02-19,6,171,3,2
STU0005,2025-02-26,5,118,1,1
STU0005,2025-03-05,8,220,1,2
STU0005,2025-03-12,6,166,1,1
STU0005,2025-03-19,6,148,1,1
STU0005,2025-03-26,6,220,1,0
STU0005,2025-04-02,3,197,1,2
STU0005,2025-04-09,9,183,3,3
STU0005,2025-04-16,4,145,1,3
STU0005,2025-04-23,5,162,1,2
STU0005,2025-04-30,4,209,1,0
STU0005,2025-05-07,7,196,1,3
STU0005,2025-05-14,3,133,3,0
STU0006,2025-01-01,3,140,2,3
STU0006,2025-01-08,5,205,1,3
STU0006,2025-01-15,4,194,3,2
STU0006,2025-01-22,3,188,1,1
STU0006,2025-01-29,6,167,2,0
STU0006,2025-02-05,6,176,3,1
STU0006,2025-02-12,4,194,3,2
STU0006,2025-02-19,3,113,1,3
STU0006,2025-02-26,3,210,1,0
STU0006,2025-03-05,9,135,3,3
STU0006,2025-03-12,3,183,2,0
STU0006,2025-03-19,7,137,2,3
STU0006,2025-03-26,7,111,3,3
STU0006,2025-04-02,6,206,3,1
STU0006,2025-04-09,6,131,3,0
STU0006,2025-04-16,6,206,3,1
STU0006,2025-04-23,6,148,3,1
STU0006,2025-04-30,6,143,2,0
STU0006,2025-05-07,3,109,1,3
STU0006,2025-05-14,8,181,3,3
STU0007,2025-01-01,7,160,2,0
STU0007,2025-01-08,8,211,3,0
STU0007,2025-01-15,4,188,2,1
STU0007,2025-01-22,6,203,4,3
STU0007,2025-01-29,7,218,2,0
STU0007,2025-02-05,7,135,2,2
STU0007,2025-02-12,10,154,3,0
STU0007,2025-02-19,4,186,2,0
STU0007,2025-02-26,4,123,2,1
STU0007,2025-03-05,5,215,2,1
STU0007,2025-03-12,9,173,4,1
STU0007,2025-03-19,10,243,4,0
STU0007,2025-03-26,6,135,4,0
STU0007,2025-04-02,4,241,2,0
STU0007,2025-04-09,9,171,4,1
STU0007,2025-04-16,10,157,4,0
STU0007,2025-04-23,4,223,3,3
STU0007,2025-04-30,7,201,4,3
STU0007,2025-05-07,10,131,2,0
STU0007,2025-05-14,6,201,3,0
STU0008,2025-01-01,6,290,4,2
STU0008,2025-01-08,12,211,5,2
STU0008,2025-01-15,11,208,4,1
STU0008,2025-01-22,10,237,4,2
STU0008,2025-01-29,10,308,4,4
STU0008,2025-02-05,6,244,4,2
STU0008,2025-02-12,6,197,4,1
STU0008,2025-02-19,12,289,3,3
STU0008,2025-02-26,8,298,4,4
STU0008,2025-03-05,8,230,3,2
STU0008,2025-03-12,11,224,5,2
STU0008,2025-03-19,11,199,5,2
STU0008,2025-03-26,8,295,4,1
STU0008,2025-04-02,8,278,4,3
STU0008,2025-04-09,10,296,4,1
STU0008,2025-04-16,7,226,3,3
STU0008,2025-04-23,11,287,3,4
STU0008,2025-04-30,7,220,4,2
STU0008,2025-05-07,7,203,5,4
STU0008,2025-05-14,11,230,4,4
STU0009,2025-01-01,6,227,1,1
STU0009,2025-01-08,4,107,1,0
STU0009,2025-01-15,6,118,3,1
STU0009,2025-01-22,7,209,3,1
STU0009,2025-01-29,3,137,1,3
STU0009,2025-02-05,6,161,3,3
STU0009,2025-02-12,5,146,3,1
STU0009,2025-02-19,4,172,3,3
STU0009,2025-02-26,7,108,2,1
STU0009,2025-03-05,7,114,1,2
STU0009,2025-03-12,7,162,1,0
STU0009,2025-03-19,8,181,2,3
STU0009,2025-03-26,6,217,2,3
STU0009,2025-04-02,4,179,2,0
STU0009,2025-04-09,8,127,3,3
STU0009,2025-04-16,8,146,3,0
STU0009,2025-04-23,8,112,2,3
STU0009,2025-04-30,3,160,2,2
STU0009,2025-05-07,9,139,2,2
STU0009,2025-05-14,8,145,2,2
STU0010,2025-01-01,4,119,3,0
STU0010,2025-01-08,2,148,3,3
STU0010,2025-01-15,1,104,1,2
STU0010,2025-01-22,2,119,3,1
STU0010,2025-01-29,6,167,1,3
STU0010,2025-02-05,7,87,1,1
STU0010,2025-02-12,7,119,2,3
STU0010,2025-02-19,3,92,3,2
STU0010,2025-02-26,2,123,2,2
STU0010,2025-03-05,4,148,2,2
STU0010,2025-03-12,6,95,3,0
STU0010,2025-03-19,2,174,3,0
STU0010,2025-03-26,6,63,1,0
STU0010,2025-04-02,7,98,1,3
STU0010,2025-04-09,4,101,3,2
STU0010,2025-04-16,3,175,1,1
STU0010,2025-04-23,2,77,1,2
STU0010,2025-04-30,7,102,3,1
STU0010,2025-05-07,2,104,2,3
STU0010,2025-05-14,5,163,1,1
STU0011,2025-01-01,10,220,4,3
STU0011,2025-01-08,10,169,3,2
STU0011,2025-01-15,6,200,4,1
STU0011,2025-01-22,9,123,2,0
STU0011,2025-01-29,4,148,2,3
STU0011,2025-02-05,9,173,2,0
STU0011,2025-02-12,6,209,3,3
STU0011,2025-02-19,4,135,3,0
STU0011,2025-02-26,4,241,2,2
STU0011,2025-03-05,9,221,4,0
STU0011,2025-03-12,9,171,2,1
STU0011,2025-03-19,4,168,2,2
STU0011,2025-03-26,5,193,2,0
STU0011,2025-04-02,6,192,3,3
STU0011,2025-04-09,6,127,4,0
STU0011,2025-04-16,7,148,4,3
STU0011,2025-04-23,9,169,2,2
STU0011,2025-04-30,7,227,4,1
STU0011,2025-05-07,4,234,3,0
STU0011,2025-05-14,4,206,4,0
STU0012,2025-01-01,4,122,3,2
STU0012,2025-01-08,6,147,1,0
STU0012,2025-01-15,5,177,2,1
STU0012,2025-01-22,5,215,1,3
STU0012,2025-01-29,6,169,3,2
STU0012,2025-02-05,5,176,3,3
STU0012,2025-02-12,9,143,3,0
STU0012,2025-02-19,10,200,3,1
STU0012,2025-02-26,7,229,1,1
STU0012,2025-03-05,10,169,2,3
STU0012,2025-03-12,9,147,3,0
STU0012,2025-03-19,4,158,1,0
STU0012,2025-03-26,9,126,2,2
STU0012,2025-04-02,5,229,3,3
STU0012,2025-04-09,4,154,1,2
STU0012,2025-04-16,10,142,2,2
STU0012,2025-04-23,5,194,1,0
STU0012,2025-04-30,10,167,3,2
STU0012,2025-05-07,9,167,1,2
STU0012,2025-05-14,5,183,3,1
STU0013,2025-01-01,12,304,5,1
STU0013,2025-01-08,9,252,4,2
STU0013,2025-01-15,11,258,5,3
STU0013,2025-01-22,8,300,3,3
STU0013,2025-01-29,10,225,5,4
STU0013,2025-02-05,8,220,5,3
STU0013,2025-02-12,9,301,4,2
STU0013,2025-02-19,12,254,5,4
STU0013,2025-02-26,12,294,3,3
STU0013,2025-03-05,8,293,5,4
STU0013,2025-03-12,10,260,5,2
STU0013,2025-03-19,7,307,4,3
STU0013,2025-03-26,8,277,4,1
STU0013,2025-04-02,11,272,4,2
STU0013,2025-04-09,6,191,3,1
STU0013,2025-04-16,8,270,5,4
STU0013,2025-04-23,6,203,4,4
STU0013,2025-04-30,10,230,4,3
STU0013,2025-05-07,7,261,5,1
STU0013,2025-05-14,11,233,4,4
STU0014,2025-01-01,11,356,3,4
STU0014,2025-01-08,12,259,3,2
STU0014,2025-01-15,12,280,3,1
STU0014,2025-01-22,8,332,5,2
STU0014,2025-01-29,13,281,5,3
STU0014,2025-02-05,9,313,4,2
STU0014,2025-02-12,14,318,4,4
STU0014,2025-02-19,13,263,4,4
STU0014,2025-02-26,13,332,3,1
STU0014,2025-03-05,9,341,4,2
STU0014,2025-03-12,10,283,5,4
STU0014,2025-03-19,14,241,3,2
STU0014,2025-03-26,8,331,3,1
STU0014,2025-04-02,11,281,3,4
STU0014,2025-04-09,9,322,3,3
STU0014,2025-04-16,12,262,4,2
STU0014,2025-04-23,10,343,5,2
STU0014,2025-04-30,8,280,3,3
STU0014,2025-05-07,11,311,4,3
STU0014,2025-05-14,9,307,4,4
STU0015,2025-01-01,7,264,3,2
STU0015,2025-01-08,9,293,5,2
STU0015,2025-01-15,9,320,5,1
STU0015,2025-01-22,7,322,4,3
STU0015,2025-01-29,11,320,3,3
STU0015,2025-02-05,10,226,5,4
STU0015,2025-02-12,8,284,4,3
STU0015,2025-02-19,8,292,3,1
STU0015,2025-02-26,10,216,3,1
STU0015,2025-03-05,12,282,5,2
STU0015,2025-03-12,11,259,5,4
STU0015,2025-03-19,11,243,3,4
STU0015,2025-03-26,10,248,3,3
STU0015,2025-04-02,8,256,5,4
STU0015,2025-04-09,13,223,3,4
STU0015,2025-04-16,13,326,5,3
STU0015,2025-04-23,7,311,4,4
STU0015,2025-04-30,11,281,3,2
STU0015,2025-05-07,12,275,4,4
STU0015,2025-05-14,11,248,5,3
STU0016,2025-01-01,5,102,2,2
STU0016,2025-01-08,9,165,1,1
STU0016,2025-01-15,3,190,1,0
STU0016,2025-01-22,5,140,3,2
STU0016,2025-01-29,5,95,1,3
STU0016,2025-02-05,8,199,1,0
STU0016,2025-02-12,7,97,2,0
STU0016,2025-02-19,8,123,2,1
STU0016,2025-02-26,4,121,3,2
STU0016,2025-03-05,8,107,3,2
STU0016,2025-03-12,9,113,1,0
STU0016,2025-03-19,6,196,2,3
STU0016,2025-03-26,3,117,3,0
STU0016,2025-04-02,9,148,3,1
STU0016,2025-04-09,9,171,3,3
STU0016,2025-04-16,3,174,3,2
STU0016,2025-04-23,7,129,3,2
STU0016,2025-04-30,5,131,1,0
STU0016,2025-05-07,3,151,3,2
STU0016,2025-05-14,9,135,3,3
STU0017,2025-01-01,13,280,4,3
STU0017,2025-01-08,8,300,4,4
STU0017,2025-01-15,14,325,5,3
STU0017,2025-01-22,14,230,5,2
STU0017,2025-01-29,8,269,3,2
STU0017,2025-02-05,14,240,4,2
STU0017,2025-02-12,14,318,3,4
STU0017,2025-02-19,9,223,4,4
STU0017,2025-02-26,13,263,4,4
STU0017,2025-03-05,11,329,3,4
STU0017,2025-03-12,8,241,4,1
STU0017,2025-03-19,11,310,4,4
STU0017,2025-03-26,11,223,4,3
STU0017,2025-04-02,8,283,4,2
STU0017,2025-04-09,11,228,3,4
STU0017,2025-04-16,12,296,4,3
STU0017,2025-04-23,10,328,5,2
STU0017,2025-04-30,9,267,4,4
STU0017,2025-05-07,10,328,3,3
STU0017,2025-05-14,8,241,5,3
STU0018,2025-01-01,3,185,2,1
STU0018,2025-01-08,7,154,3,2
STU0018,2025-01-15,7,207,1,2
STU0018,2025-01-22,7,199,2,0
STU0018,2025-01-29,3,99,1,1
STU0018,2025-02-05,3,214,3,3
STU0018,2025-02-12,3,148,3,1
STU0018,2025-02-19,7,212,3,0
STU0018,2025-02-26,7,126,3,1
STU0018,2025-03-05,6,109,3,0
STU0018,2025-03-12,7,174,3,1
STU0018,2025-03-19,7,206,1,3
STU0018,2025-03-26,7,115,1,3
STU0018,2025-04-02,5,99,1,0
STU0018,2025-04-09,6,193,2,3
STU0018,2025-04-16,6,194,1,0
STU0018,2025-04-23,7,103,3,3
STU0018,2025-04-30,8,155,3,2
STU0018,2025-05-07,8,115,1,3
STU0018,2025-05-14,4,138,3,0
STU0019,2025-01-01,6,143,4,1
STU0019,2025-01-08,5,192,2,3
STU0019,2025-01-15,10,182,3,0
STU0019,2025-01-22,7,189,2,0
STU0019,2025-01-29,5,137,4,3
STU0019,2025-02-05,6,199,2,0
STU0019,2025-02-12,5,168,2,3
STU0019,2025-02-19,9,181,2,2
STU0019,2025-02-26,6,205,2,3
STU0019,2025-03-05,7,211,3,0
STU0019,2025-03-12,4,237,4,1
STU0019,2025-03-19,6,182,3,2
STU0019,2025-03-26,4,176,2,0
STU0019,2025-04-02,7,148,3,0
STU0019,2025-04-09,10,169,3,1
STU0019,2025-04-16,7,149,4,0
STU0019,2025-04-23,10,221,2,2
STU0019,2025-04-30,4,156,3,0
STU0019,2025-05-07,5,152,3,3
STU0019,2025-05-14,4,218,3,2
STU0020,2025-01-01,11,247,5,4
STU0020,2025-01-08,9,251,4,3
STU0020,2025-01-15,10,283,4,3
STU0020,2025-01-22,12,226,5,2
STU0020,2025-01-29,7,259,4,2
STU0020,2025-02-05,11,265,5,2
STU0020,2025-02-12,7,291,3,3
STU0020,2025-02-19,9,259,5,4
STU0020,2025-02-26,10,229,3,3
STU0020,2025-03-05,7,221,3,3
STU0020,2025-03-12,7,220,4,4
STU0020,2025-03-19,9,200,5,4
STU0020,2025-03-26,9,282,4,4
STU0020,2025-04-02,12,289,3,4
STU0020,2025-04-09,13,228,4,4
STU0020,2025-04-16,10,204,3,3
STU0020,2025-04-23,7,215,4,2
STU0020,2025-04-30,12,296,5,2
STU0020,2025-05-07,9,304,3,1
STU0020,2025-05-14,10,241,4,2
STU0021,2025-01-01,8,225,4,3
STU0021,2025-01-08,7,239,3,2
STU0021,2025-01-15,7,229,2,0
STU0021,2025-01-22,7,236,3,0
STU0021,2025-01-29,10,162,4,1
STU0021,2025-02-05,5,180,3,3
STU0021,2025-02-12,7,164,3,0
STU0021,2025-02-19,4,242,4,2
STU0021,2025-02-26,5,206,3,0
STU0021,2025-03-05,9,230,2,1
STU0021,2025-03-12,9,139,2,1
STU0021,2025-03-19,9,249,3,0
STU0021,2025-03-26,8,226,2,2
STU0021,2025-04-02,9,228,4,1
STU0021,2025-04-09,7,226,4,0
STU0021,2025-04-16,7,157,4,1
STU0021,2025-04-23,10,249,2,1
STU0021,2025-04-30,4,217,2,3
STU0021,2025-05-07,7,182,3,3
STU0021,2025-05-14,9,178,2,2
STU0022,2025-01-01,11,304,5,4
STU0022,2025-01-08,13,354,5,4
STU0022,2025-01-15,12,309,5,3
STU0022,2025-01-22,10,348,5,4
STU0022,2025-01-29,12,332,4,4
STU0022,2025-02-05,13,313,4,1
STU0022,2025-02-12,8,276,5,1
STU0022,2025-02-19,11,356,5,3
STU0022,2025-02-26,11,247,5,1
STU0022,2025-03-05,11,314,5,2
STU0022,2025-03-12,14,267,5,3
STU0022,2025-03-19,8,241,5,2
STU0022,2025-03-26,9,336,4,4
STU0022,2025-04-02,11,305,4,3
STU0022,2025-04-09,9,241,3,2
STU0022,2025-04-16,9,359,4,3
STU0022,2025-04-23,8,321,3,1
STU0022,2025-04-30,10,356,3,3
STU0022,2025-05-07,8,251,4,2
STU0022,2025-05-14,8,332,4,4
STU0023,2025-01-01,8,295,3,2
STU0023,2025-01-08,7,230,3,3
STU0023,2025-01-15,10,234,4,4
STU0023,2025-01-22,6,218,5,4
STU0023,2025-01-29,12,275,3,1
STU0023,2025-02-05,10,221,5,2
STU0023,2025-02-12,12,278,5,4
STU0023,2025-02-19,6,225,4,2
STU0023,2025-02-26,10,241,5,4
STU0023,2025-03-05,9,195,3,4
STU0023,2025-03-12,9,249,4,2
STU0023,2025-03-19,6,268,3,3
STU0023,2025-03-26,8,267,4,4
STU0023,2025-04-02,12,195,4,2
STU0023,2025-04-09,12,202,4,2
STU0023,2025-04-16,11,304,5,2
STU0023,2025-04-23,11,299,4,3
STU0023,2025-04-30,7,306,3,2
STU0023,2025-05-07,12,303,3,1
STU0023,2025-05-14,10,285,4,1
STU0024,2025-01-01,6,140,2,1
STU0024,2025-01-08,6,147,4,3
STU0024,2025-01-15,4,161,3,2
STU0024,2025-01-22,5,247,2,3
STU0024,2025-01-29,9,165,2,0
STU0024,2025-02-05,5,172,4,1
STU0024,2025-02-12,6,142,3,3
STU0024,2025-02-19,4,236,4,3
STU0024,2025-02-26,10,239,3,1
STU0024,2025-03-05,10,143,3,3
STU0024,2025-03-12,8,243,4,2
STU0024,2025-03-19,9,152,4,1
STU0024,2025-03-26,4,138,2,3
STU0024,2025-04-02,5,197,3,1
STU0024,2025-04-09,4,224,3,0
STU0024,2025-04-16,7,232,3,0
STU0024,2025-04-23,9,253,3,3
STU0024,2025-04-30,5,144,2,1
STU0024,2025-05-07,6,221,2,2
STU0024,2025-05-14,8,183,2,3
STU0025,2025-01-01,12,277,5,3
STU0025,2025-01-08,7,273,4,4
STU0025,2025-01-15,8,256,3,3
STU0025,2025-01-22,9,256,3,4
STU0025,2025-01-29,9,313,5,4
STU0025,2025-02-05,13,259,4,2
STU0025,2025-02-12,13,293,3,4
STU0025,2025-02-19,11,242,5,4
STU0025,2025-02-26,10,207,5,4
STU0025,2025-03-05,7,217,3,2
STU0025,2025-03-12,13,283,5,1
STU0025,2025-03-19,10,243,5,4
STU0025,2025-03-26,7,280,4,1
STU0025,2025-04-02,7,211,3,4
STU0025,2025-04-09,11,305,4,2
STU0025,2025-04-16,12,230,4,3
STU0025,2025-04-23,8,251,5,3
STU0025,2025-04-30,8,195,5,1
STU0025,2025-05-07,8,272,5,4
STU0025,2025-05-14,11,276,3,4
STU0026,2025-01-01,10,158,3,2
STU0026,2025-01-08,10,194,3,0
STU0026,2025-01-15,9,219,4,3
STU0026,2025-01-22,8,204,4,2
STU0026,2025-01-29,8,205,4,3
STU0026,2025-02-05,9,156,4,1
STU0026,2025-02-12,9,144,2,1
STU0026,2025-02-19,9,196,2,1
STU0026,2025-02-26,7,192,3,3
STU0026,2025-03-05,4,204,4,1
STU0026,2025-03-12,7,168,3,3
STU0026,2025-03-19,8,169,3,2
STU0026,2025-03-26,7,212,4,3
STU0026,2025-04-02,6,149,2,1
STU0026,2025-04-09,6,217,3,2
STU0026,2025-04-16,5,124,4,0
STU0026,2025-04-23,5,138,2,1
STU0026,2025-04-30,6,180,3,0
STU0026,2025-05-07,6,131,2,1
STU0026,2025-05-14,7,172,3,1
STU0027,2025-01-01,8,215,2,0
STU0027,2025-01-08,7,148,2,2
STU0027,2025-01-15,8,195,3,3
STU0027,2025-01-22,4,125,2,1
STU0027,2025-01-29,8,167,2,1
STU0027,2025-02-05,4,216,3,2
STU0027,2025-02-12,6,169,2,0
STU0027,2025-02-19,4,184,1,0
STU0027,2025-02-26,6,121,1,0
STU0027,2025-03-05,4,145,2,3
STU0027,2025-03-12,5,127,3,3
STU0027,2025-03-19,8,188,1,3
STU0027,2025-03-26,7,174,3,1
STU0027,2025-04-02,8,224,3,1
STU0027,2025-04-09,9,214,3,1
STU0027,2025-04-16,4,177,1,1
STU0027,2025-04-23,7,170,2,1
STU0027,2025-04-30,7,205,2,1
STU0027,2025-05-07,5,178,1,3
STU0027,2025-05-14,4,184,3,3
STU0028,2025-01-01,7,110,2,2
STU0028,2025-01-08,4,192,1,1
STU0028,2025-01-15,5,101,2,1
STU0028,2025-01-22,6,166,2,1
STU0028,2025-01-29,8,177,2,1
STU0028,2025-02-05,3,171,3,0
STU0028,2025-02-12,6,217,3,2
STU0028,2025-02-19,7,148,1,1
STU0028,2025-02-26,4,215,2,1
STU0028,2025-03-05,7,213,3,2
STU0028,2025-03-12,3,166,2,3
STU0028,2025-03-19,4,189,1,3
STU0028,2025-03-26,8,177,2,1
STU0028,2025-04-02,7,108,1,3
STU0028,2025-04-09,6,153,2,3
STU0028,2025-04-16,9,196,3,3
STU0028,2025-04-23,6,182,3,1
STU0028,2025-04-30,8,174,2,0
STU0028,2025-05-07,7,105,3,0
STU0028,2025-05-14,5,180,3,3
STU0029,2025-01-01,8,305,4,2
STU0029,2025-01-08,7,193,4,2
STU0029,2025-01-15,11,251,4,1
STU0029,2025-01-22,11,243,3,3
STU0029,2025-01-29,7,238,3,1
STU0029,2025-02-05,11,219,3,2
STU0029,2025-02-12,8,260,5,4
STU0029,2025-02-19,9,213,4,3
STU0029,2025-02-26,6,256,5,3
STU0029,2025-03-05,12,266,3,4
STU0029,2025-03-12,12,239,3,2
STU0029,2025-03-19,7,263,4,1
STU0029,2025-03-26,9,219,4,4
STU0029,2025-04-02,7,222,4,4
STU0029,2025-04-09,12,215,5,3
STU0029,2025-04-16,9,286,3,4
STU0029,2025-04-23,11,278,5,3
STU0029,2025-04-30,6,190,4,2
STU0029,2025-05-07,10,307,5,3
STU0029,2025-05-14,12,218,5,3
STU0030,2025-01-01,10,275,2,1
STU0030,2025-01-08,10,255,4,4
STU0030,2025-01-15,9,291,4,2
STU0030,2025-01-22,12,265,3,3
STU0030,2025-01-29,11,178,3,1
STU0030,2025-02-05,12,210,4,1
STU0030,2025-02-12,8,240,3,2
STU0030,2025-02-19,8,268,4,4
STU0030,2025-02-26,8,210,2,3
STU0030,2025-03-05,12,217,2,4
STU0030,2025-03-12,12,213,4,4
STU0030,2025-03-19,6,267,2,4
STU0030,2025-03-26,9,268,4,4
STU0030,2025-04-02,9,194,2,2
STU0030,2025-04-09,7,265,3,3
STU0030,2025-04-16,12,292,3,1
STU0030,2025-04-23,12,217,2,2
STU0030,2025-04-30,6,177,2,4
STU0030,2025-05-07,6,193,3,3
STU0030,2025-05-14,11,183,3,4
STU0031,2025-01-01,14,337,5,4
STU0031,2025-01-08,14,340,5,4
STU0031,2025-01-15,13,298,3,1
STU0031,2025-01-22,10,239,4,3
STU0031,2025-01-29,9,337,5,4
STU0031,2025-02-05,13,302,5,1
STU0031,2025-02-12,8,345,4,1
STU0031,2025-02-19,9,323,3,4
STU0031,2025-02-26,10,337,3,1
STU0031,2025-03-05,8,277,5,1
STU0031,2025-03-12,10,272,5,3
STU0031,2025-03-19,12,254,5,2
STU0031,2025-03-26,14,244,4,3
STU0031,2025-04-02,10,271,4,3
STU0031,2025-04-09,9,253,3,2
STU0031,2025-04-16,8,264,5,3
STU0031,2025-04-23,10,324,3,2
STU0031,2025-04-30,12,328,5,3
STU0031,2025-05-07,13,236,4,4
STU0031,2025-05-14,12,302,3,2
STU0032,2025-01-01,6,204,4,1
STU0032,2025-01-08,8,229,4,3
STU0032,2025-01-15,10,290,2,4
STU0032,2025-01-22,6,218,4,4
STU0032,2025-01-29,10,221,4,1
STU0032,2025-02-05,6,281,3,2
STU0032,2025-02-12,9,289,2,1
STU0032,2025-02-19,12,191,4,4
STU0032,2025-02-26,8,179,4,1
STU0032,2025-03-05,6,232,2,1
STU0032,2025-03-12,11,222,4,2
STU0032,2025-03-19,12,241,2,1
STU0032,2025-03-26,8,214,2,4
STU0032,2025-04-02,12,240,4,4
STU0032,2025-04-09,7,238,4,2
STU0032,2025-04-16,6,273,4,2
STU0032,2025-04-23,10,210,2,3
STU0032,2025-04-30,7,183,4,3
STU0032,2025-05-07,6,215,3,1
STU0032,2025-05-14,10,293,2,1
STU0033,2025-01-01,7,111,1,3
STU0033,2025-01-08,3,132,3,2
STU0033,2025-01-15,8,166,3,3
STU0033,2025-01-22,5,132,3,0
STU0033,2025-01-29,7,133,2,0
STU0033,2025-02-05,7,210,1,3
STU0033,2025-02-12,5,138,2,0
STU0033,2025-02-19,7,197,1,3
STU0033,2025-02-26,8,207,1,2
STU0033,2025-03-05,5,164,2,2
STU0033,2025-03-12,7,159,1,2
STU0033,2025-03-19,6,147,1,1
STU0033,2025-03-26,3,208,3,0
STU0033,2025-04-02,9,146,2,0
STU0033,2025-04-09,7,182,2,2
STU0033,2025-04-16,8,149,1,2
STU0033,2025-04-23,3,208,1,1
STU0033,2025-04-30,9,212,3,1
STU0033,2025-05-07,5,105,2,3
STU0033,2025-05-14,8,146,2,3
STU0034,2025-01-01,11,163,3,1
STU0034,2025-01-08,7,235,2,3
STU0034,2025-01-15,10,203,4,4
STU0034,2025-01-22,8,198,3,2
STU0034,2025-01-29,11,258,3,2
STU0034,2025-02-05,9,168,4,3
STU0034,2025-02-12,8,190,2,4
STU0034,2025-02-19,6,268,4,1
STU0034,2025-02-26,10,180,3,2
STU0034,2025-03-05,5,244,4,4
STU0034,2025-03-12,11,264,2,1
STU0034,2025-03-19,5,173,3,4
STU0034,2025-03-26,11,190,3,1
STU0034,2025-04-02,11,254,3,2
STU0034,2025-04-09,7,242,4,2
STU0034,2025-04-16,6,166,2,1
STU0034,2025-04-23,11,236,4,1
STU0034,2025-04-30,6,211,4,4
STU0034,2025-05-07,11,242,2,2
STU0034,2025-05-14,8,213,2,1
STU0035,2025-01-01,7,91,1,0
STU0035,2025-01-08,5,178,3,1
STU0035,2025-01-15,1,96,2,1
STU0035,2025-01-22,2,125,3,0
STU0035,2025-01-29,2,102,2,1
STU0035,2025-02-05,7,88,3,1
STU0035,2025-02-12,5,119,2,1
STU0035,2025-02-19,7,109,2,2
STU0035,2025-02-26,4,178,3,3
STU0035,2025-03-05,4,160,3,0
STU0035,2025-03-12,6,147,2,0
STU0035,2025-03-19,1,69,3,2
STU0035,2025-03-26,5,136,3,2
STU0035,2025-04-02,6,159,1,0
STU0035,2025-04-09,3,123,2,0
STU0035,2025-04-16,1,172,2,2
